Task Name,Category,Action,Priority,Estimated Time (mins),Actual Time (mins),Completion Percentage,Due Date,Time Spent (mins),Status,Quality
Sprint planning,Learning,Learn new skills,High,174,87,0.69,2023-04-04 11:00:00,220,Under,Fair
Attending conference,Work,Plan upcoming sprint,Medium,125,104,0.94,2023-03-31 16:00:00,270,Under,Good
Pair programming,Work,Refactor existing code,Medium,214,295,0.66,2023-04-05 18:00:00,350,Over,Fair
Code refactoring,Learning,Learn new skills,High,236,310,0.85,2023-03-28 14:00:00,100,Over,Good
Complete coding challenge,Learning,Write technical document,High,66,72,0.66,2023-03-29 17:00:00,210,Over,Fair
Pair programming,Work,Refactor existing code,High,54,28,0.7,2023-03-29 17:00:00,250,Under,Fair
Learning new technology,Work,Submit a functioning solution,Medium,189,223,0.8,2023-03-30 15:00:00,100,Over,Good
Complete coding challenge,Learning,Learn new programming language,Medium,199,123,0.71,2023-03-30 14:00:00,220,Under,Fair
Debugging,Learning,Review code changes,Low,92,122,0.67,2023-04-01 12:00:00,130,Over,Fair
Debugging,Work,Plan upcoming sprint,Medium,188,138,0.8,2023-04-04 11:00:00,100,Under,Good
Code review,Learning,Write technical document,High,52,72,0.61,2023-04-02 10:00:00,210,Over,Fair
Attending training session,Learning,Write technical document,Low,36,46,0.95,2023-04-04 11:00:00,110,Over,Good
Complete coding challenge,Work,Discuss project progress,High,56,49,0.74,2023-04-01 12:00:00,100,Under,Fair
Complete coding challenge,Learning,Submit a functioning solution,High,43,28,0.61,2023-03-30 15:00:00,210,Under,Fair
Attending conference,Learning,Review code changes,High,66,59,0.73,2023-04-01 12:00:00,190,Under,Fair
Attending training session,Learning,Fix errors in code,High,204,121,0.96,2023-03-28 10:00:00,210,Under,Good
Sprint planning,Work,Refactor existing code,Low,174,105,0.89,2023-03-29 11:00:00,270,Under,Good
Pair programming,Work,Learn new programming language,Low,192,118,0.81,2023-04-02 10:00:00,55,Under,Good
Debugging,Learning,Discuss project progress,Low,181,132,0.92,2023-03-29 11:00:00,110,Under,Good
Debugging,Work,Network with peers,Low,177,123,0.86,2023-03-29 11:00:00,220,Under,Good
Complete coding challenge,Learning,Fix errors in code,Medium,85,70,0.81,2023-03-29 17:00:00,420,Under,Good
Attending conference,Learning,Plan upcoming sprint,Medium,199,155,0.85,2023-03-31 16:00:00,110,Under,Good
Writing technical documentation,Work,Code collaboratively,Low,177,246,0.99,2023-03-30 14:00:00,110,Over,Good
Complete coding challenge,Work,Review code changes,Low,179,117,0.85,2023-03-28 10:00:00,190,Under,Good
Code review,Learning,Review code changes,High,43,55,0.75,2023-04-02 10:00:00,220,Over,Good
Attend team meeting,Work,Plan upcoming sprint,High,119,63,0.89,2023-03-30 15:00:00,110,Under,Good
Attend team meeting,Learning,Plan upcoming sprint,Medium,176,104,0.72,2023-03-30 15:00:00,210,Under,Fair
Attending training session,Work,Learn new programming language,Medium,98,96,0.99,2023-03-30 15:00:00,80,Under,Good
Writing technical documentation,Learning,Plan upcoming sprint,Medium,223,212,0.65,2023-04-04 11:00:00,210,Under,Fair
Debugging,Work,Write technical document,High,139,158,0.84,2023-03-29 17:00:00,110,Over,Good
Attend team meeting,Work,Discuss project progress,High,204,284,0.83,2023-04-05 18:00:00,210,Over,Good
Complete coding challenge,Learning,Network with peers,Low,36,47,0.66,2023-03-28 10:00:00,55,Over,Fair
Complete coding challenge,Learning,Network with peers,High,131,182,0.97,2023-03-30 15:00:00,350,Over,Good
Attending training session,Work,Network with peers,Low,33,44,0.96,2023-03-28 10:00:00,420,Over,Good
Code refactoring,Learning,Learn new programming language,High,186,171,0.75,2023-03-31 16:00:00,190,Under,Good
Code refactoring,Learning,Fix errors in code,Medium,47,26,0.96,2023-04-04 11:00:00,250,Under,Good
Learning new technology,Learning,Refactor existing code,High,198,161,0.77,2023-03-28 10:00:00,55,Under,Good
Attending training session,Work,Write technical document,Medium,188,152,0.93,2023-03-28 14:00:00,270,Under,Good
Complete coding challenge,Work,Fix errors in code,Medium,34,19,0.92,2023-04-05 18:00:00,55,Under,Good
Learning new technology,Work,Write technical document,Medium,211,215,0.84,2023-04-04 11:00:00,80,Over,Good
Debugging,Work,Refactor existing code,Medium,144,114,0.76,2023-04-01 12:00:00,100,Under,Good
Learning new technology,Work,Learn new programming language,Low,162,168,0.86,2023-03-31 16:00:00,320,Over,Good
Attend team meeting,Learning,Network with peers,Low,64,49,0.72,2023-03-29 11:00:00,80,Under,Fair
Writing technical documentation,Learning,Review code changes,High,206,301,0.92,2023-03-29 11:00:00,100,Over,Good
Attend team meeting,Learning,Discuss project progress,Medium,48,62,0.69,2023-03-29 17:00:00,350,Over,Fair
Sprint planning,Work,Submit a functioning solution,Medium,112,59,0.83,2023-03-30 14:00:00,80,Under,Good
Attending training session,Work,Discuss project progress,Low,86,80,0.8,2023-03-30 15:00:00,110,Under,Good
Sprint planning,Learning,Network with peers,Medium,180,253,0.96,2023-03-29 17:00:00,250,Over,Good
Code refactoring,Work,Plan upcoming sprint,Medium,76,50,1.0,2023-03-29 11:00:00,80,Under,Good
Debugging,Work,Code collaboratively,High,101,133,0.79,2023-03-28 14:00:00,220,Over,Good
Attending conference,Work,Discuss project progress,High,143,199,0.78,2023-03-29 11:00:00,55,Over,Good
Code refactoring,Work,Fix errors in code,Low,34,20,0.72,2023-04-04 11:00:00,190,Under,Fair
Attending training session,Learning,Fix errors in code,High,161,87,0.94,2023-04-05 18:00:00,210,Under,Good
Learning new technology,Work,Discuss project progress,High,159,167,0.98,2023-03-30 15:00:00,220,Over,Good
Attending conference,Learning,Learn new skills,Medium,181,237,0.77,2023-04-02 10:00:00,250,Over,Good
Debugging,Work,Discuss project progress,Low,229,139,0.71,2023-03-28 14:00:00,110,Under,Fair
Complete coding challenge,Learning,Learn new programming language,Medium,44,58,0.79,2023-04-05 18:00:00,350,Over,Good
Attending training session,Work,Code collaboratively,Medium,191,124,0.73,2023-03-28 14:00:00,130,Under,Fair
Attending training session,Learning,Plan upcoming sprint,Low,236,227,1.0,2023-04-04 11:00:00,220,Under,Good
Debugging,Learning,Learn new skills,Medium,132,124,0.79,2023-03-31 16:00:00,170,Under,Good
Writing technical documentation,Work,Learn new skills,Low,79,93,0.69,2023-03-30 14:00:00,320,Over,Fair
Code review,Work,Refactor existing code,Medium,124,150,0.8,2023-03-28 10:00:00,320,Over,Good
Pair programming,Work,Plan upcoming sprint,Medium,234,175,0.96,2023-03-28 14:00:00,270,Under,Good
Learning new technology,Learning,Refactor existing code,Medium,114,94,0.85,2023-03-29 17:00:00,220,Under,Good
Learning new technology,Work,Refactor existing code,Medium,38,34,0.79,2023-03-28 10:00:00,420,Under,Good
Debugging,Work,Plan upcoming sprint,High,116,126,0.77,2023-03-29 11:00:00,170,Over,Good
Code refactoring,Work,Code collaboratively,High,213,199,0.9,2023-03-30 14:00:00,420,Under,Good
Attending conference,Learning,Discuss project progress,High,76,60,0.71,2023-03-28 10:00:00,130,Under,Fair
Attending conference,Work,Submit a functioning solution,Medium,92,96,1.0,2023-04-02 10:00:00,80,Over,Good
Pair programming,Work,Learn new skills,High,120,105,0.97,2023-03-30 15:00:00,350,Under,Good
Writing technical documentation,Work,Plan upcoming sprint,Medium,91,126,0.93,2023-03-29 11:00:00,210,Over,Good
Code review,Work,Code collaboratively,Low,208,155,0.82,2023-03-28 10:00:00,320,Under,Good
Attending training session,Learning,Discuss project progress,Low,166,128,0.74,2023-03-29 17:00:00,210,Under,Fair
Attend team meeting,Work,Learn new skills,High,42,59,0.64,2023-03-28 10:00:00,170,Over,Fair
Learning new technology,Learning,Plan upcoming sprint,High,160,103,0.99,2023-04-05 18:00:00,110,Under,Good
Code review,Work,Code collaboratively,Low,147,122,0.97,2023-03-29 17:00:00,270,Under,Good
Code review,Learning,Code collaboratively,High,150,134,0.88,2023-04-02 10:00:00,55,Under,Good
Attending conference,Learning,Learn new skills,Medium,169,172,0.74,2023-04-04 11:00:00,270,Over,Fair
Complete coding challenge,Work,Submit a functioning solution,Medium,149,135,0.64,2023-04-04 11:00:00,100,Under,Fair
Sprint planning,Work,Learn new programming language,High,149,198,0.88,2023-04-02 10:00:00,110,Over,Good
Code refactoring,Learning,Refactor existing code,Low,155,186,0.81,2023-03-29 17:00:00,270,Over,Good
Writing technical documentation,Learning,Network with peers,Medium,176,116,0.61,2023-03-30 14:00:00,110,Under,Fair
Attending conference,Learning,Review code changes,Low,40,58,0.63,2023-03-29 11:00:00,130,Over,Fair
Attending conference,Learning,Fix errors in code,High,199,291,0.9,2023-03-29 17:00:00,320,Over,Good
Complete coding challenge,Work,Review code changes,High,203,113,0.78,2023-03-31 16:00:00,130,Under,Good
Attending conference,Work,Review code changes,High,185,101,0.72,2023-03-29 17:00:00,320,Under,Fair
Writing technical documentation,Work,Fix errors in code,High,186,207,0.89,2023-03-28 10:00:00,420,Over,Good
Attend team meeting,Work,Submit a functioning solution,Low,196,173,0.73,2023-03-28 14:00:00,220,Under,Fair
Complete coding challenge,Learning,Discuss project progress,High,47,62,0.65,2023-03-28 14:00:00,210,Over,Fair
Code refactoring,Learning,Submit a functioning solution,Medium,202,283,0.95,2023-03-28 10:00:00,270,Over,Good
Attending training session,Learning,Learn new programming language,Medium,85,47,0.68,2023-03-30 14:00:00,55,Under,Fair
Code refactoring,Learning,Learn new programming language,Medium,165,103,0.9,2023-04-04 11:00:00,220,Under,Good
Pair programming,Learning,Network with peers,Low,100,125,0.83,2023-04-01 12:00:00,110,Over,Good
Attending training session,Learning,Submit a functioning solution,Low,188,100,0.79,2023-03-28 14:00:00,100,Under,Good
Code refactoring,Learning,Code collaboratively,High,176,192,0.96,2023-03-31 16:00:00,250,Over,Good
Debugging,Work,Code collaboratively,Medium,141,169,0.86,2023-03-29 11:00:00,220,Over,Good
Attend team meeting,Work,Fix errors in code,Low,214,198,0.72,2023-03-28 10:00:00,320,Under,Fair
Debugging,Learning,Learn new programming language,Low,138,136,0.81,2023-03-28 10:00:00,350,Under,Good
Pair programming,Learning,Fix errors in code,High,231,293,0.72,2023-04-04 11:00:00,210,Over,Fair
Writing technical documentation,Learning,Plan upcoming sprint,High,106,103,0.73,2023-03-31 16:00:00,350,Under,Fair
Complete coding challenge,Learning,Discuss project progress,High,140,172,0.9,2023-04-02 10:00:00,100,Over,Good
Sprint planning,Learning,Fix errors in code,Low,146,162,1.0,2023-03-31 16:00:00,170,Over,Good
Code review,Work,Code collaboratively,Medium,41,53,0.98,2023-03-28 14:00:00,55,Over,Good
Attending conference,Work,Fix errors in code,Low,143,94,0.8,2023-04-01 12:00:00,270,Under,Good
Attending conference,Learning,Network with peers,High,205,201,0.9,2023-03-29 17:00:00,190,Under,Good
Code refactoring,Learning,Network with peers,Medium,141,127,0.94,2023-04-02 10:00:00,80,Under,Good
Learning new technology,Work,Fix errors in code,Low,115,97,0.91,2023-04-01 12:00:00,190,Under,Good
Code refactoring,Learning,Fix errors in code,High,59,56,0.99,2023-04-05 18:00:00,350,Under,Good
Attending training session,Learning,Learn new programming language,High,123,98,0.92,2023-04-05 18:00:00,320,Under,Good
Code refactoring,Work,Refactor existing code,Medium,211,185,0.94,2023-03-28 10:00:00,250,Under,Good
Writing technical documentation,Learning,Code collaboratively,High,157,193,0.64,2023-03-29 17:00:00,250,Over,Fair
Debugging,Learning,Submit a functioning solution,Low,153,225,0.7,2023-03-31 16:00:00,210,Over,Fair
Sprint planning,Learning,Discuss project progress,High,73,81,0.97,2023-04-02 10:00:00,130,Over,Good
Attending conference,Work,Submit a functioning solution,Low,119,163,0.91,2023-03-31 16:00:00,250,Over,Good
Writing technical documentation,Learning,Discuss project progress,Medium,190,195,0.78,2023-03-31 16:00:00,100,Over,Good
Debugging,Learning,Learn new programming language,Medium,63,38,0.64,2023-04-04 11:00:00,130,Under,Fair
Pair programming,Work,Fix errors in code,Medium,127,69,0.97,2023-03-28 10:00:00,170,Under,Good
Debugging,Work,Learn new skills,Low,94,94,0.85,2023-04-02 10:00:00,320,Accurate,Good
Debugging,Work,Learn new skills,Low,79,72,0.77,2023-03-30 14:00:00,190,Under,Good
Attending training session,Work,Review code changes,Low,216,315,0.96,2023-03-29 17:00:00,100,Over,Good
Learning new technology,Work,Review code changes,Low,168,240,0.92,2023-04-05 18:00:00,220,Over,Good
Sprint planning,Work,Network with peers,High,80,101,1.0,2023-03-30 15:00:00,80,Over,Good
Attending training session,Learning,Submit a functioning solution,Low,47,25,0.93,2023-03-29 17:00:00,190,Under,Good
Code refactoring,Learning,Learn new programming language,Low,66,36,0.73,2023-03-31 16:00:00,55,Under,Fair
Complete coding challenge,Work,Write technical document,Low,139,151,0.85,2023-03-31 16:00:00,80,Over,Good
Sprint planning,Learning,Review code changes,Medium,123,80,0.95,2023-03-28 10:00:00,55,Under,Good
Attend team meeting,Learning,Discuss project progress,Low,197,108,0.84,2023-04-02 10:00:00,100,Under,Good
Code review,Work,Write technical document,Low,101,109,0.7,2023-03-28 14:00:00,220,Over,Fair
Sprint planning,Work,Learn new programming language,High,170,115,0.95,2023-04-05 18:00:00,190,Under,Good
Code review,Work,Write technical document,High,140,158,0.61,2023-04-02 10:00:00,190,Over,Fair
Learning new technology,Work,Refactor existing code,Medium,240,158,0.93,2023-03-30 14:00:00,55,Under,Good
Learning new technology,Work,Code collaboratively,High,71,89,0.75,2023-03-28 14:00:00,420,Over,Good
Sprint planning,Learning,Discuss project progress,High,233,191,0.72,2023-03-28 10:00:00,210,Under,Fair
Pair programming,Work,Plan upcoming sprint,Low,227,275,0.75,2023-03-30 15:00:00,170,Over,Good
Writing technical documentation,Learning,Review code changes,Low,147,124,0.8,2023-03-29 17:00:00,170,Under,Good
Code refactoring,Work,Submit a functioning solution,Low,101,88,0.8,2023-03-29 17:00:00,110,Under,Good
Code review,Learning,Review code changes,Low,239,266,0.83,2023-03-29 11:00:00,170,Over,Good
Attending conference,Work,Fix errors in code,High,191,127,0.94,2023-03-28 10:00:00,100,Under,Good
Sprint planning,Learning,Network with peers,Medium,197,126,0.62,2023-04-05 18:00:00,250,Under,Fair
Sprint planning,Work,Review code changes,Medium,158,132,0.86,2023-04-05 18:00:00,320,Under,Good
Attending training session,Work,Review code changes,High,77,110,0.63,2023-04-02 10:00:00,55,Over,Fair
Pair programming,Learning,Learn new programming language,High,98,62,0.62,2023-03-28 14:00:00,80,Under,Fair
Complete coding challenge,Learning,Write technical document,Low,216,296,0.65,2023-03-28 10:00:00,210,Over,Fair
Writing technical documentation,Learning,Submit a functioning solution,Low,180,250,0.82,2023-03-31 16:00:00,420,Over,Good
Debugging,Work,Learn new programming language,Low,45,51,0.63,2023-03-31 16:00:00,190,Over,Fair
Attend team meeting,Work,Review code changes,Low,168,129,0.79,2023-04-04 11:00:00,130,Under,Good
Writing technical documentation,Work,Learn new programming language,High,221,166,0.9,2023-04-05 18:00:00,190,Under,Good
Code review,Work,Review code changes,Medium,156,220,0.63,2023-04-01 12:00:00,250,Over,Fair
Learning new technology,Learning,Learn new skills,Medium,166,157,0.99,2023-03-30 14:00:00,250,Under,Good
Attending training session,Learning,Discuss project progress,Medium,93,133,0.74,2023-03-29 17:00:00,130,Over,Fair
Writing technical documentation,Learning,Refactor existing code,Low,191,152,1.0,2023-04-01 12:00:00,270,Under,Good
Attending training session,Work,Submit a functioning solution,Medium,173,119,0.81,2023-03-30 15:00:00,420,Under,Good
Writing technical documentation,Learning,Review code changes,Medium,134,102,0.9,2023-04-01 12:00:00,130,Under,Good
Attending conference,Learning,Submit a functioning solution,Medium,60,48,0.85,2023-03-28 14:00:00,130,Under,Good
Code review,Learning,Refactor existing code,Medium,172,244,0.74,2023-03-30 14:00:00,350,Over,Fair
Attending training session,Work,Code collaboratively,High,229,146,0.86,2023-04-04 11:00:00,250,Under,Good
Debugging,Learning,Network with peers,High,37,29,0.61,2023-04-04 11:00:00,110,Under,Fair
Learning new technology,Work,Write technical document,Low,160,221,0.86,2023-03-31 16:00:00,210,Over,Good
Writing technical documentation,Learning,Fix errors in code,High,166,107,0.93,2023-03-31 16:00:00,190,Under,Good
Attending training session,Work,Code collaboratively,Medium,86,118,0.82,2023-03-30 15:00:00,270,Over,Good
Attending conference,Work,Network with peers,Medium,70,88,1.0,2023-03-30 15:00:00,55,Over,Good
Complete coding challenge,Work,Network with peers,High,56,33,0.76,2023-03-30 14:00:00,420,Under,Good
Complete coding challenge,Work,Submit a functioning solution,Low,106,94,0.99,2023-03-28 14:00:00,55,Under,Good
Complete coding challenge,Learning,Learn new skills,High,173,139,0.77,2023-04-01 12:00:00,80,Under,Good
Writing technical documentation,Learning,Submit a functioning solution,Low,223,170,0.65,2023-03-28 14:00:00,130,Under,Fair
Sprint planning,Learning,Discuss project progress,Low,189,95,0.76,2023-04-04 11:00:00,250,Under,Good
Writing technical documentation,Work,Plan upcoming sprint,Medium,170,228,0.94,2023-04-05 18:00:00,55,Over,Good
Sprint planning,Work,Refactor existing code,High,95,76,0.65,2023-03-28 14:00:00,100,Under,Fair
Sprint planning,Work,Discuss project progress,Medium,141,107,0.97,2023-03-31 16:00:00,190,Under,Good
Attending training session,Work,Submit a functioning solution,Medium,95,106,0.91,2023-03-29 11:00:00,270,Over,Good
Pair programming,Learning,Discuss project progress,Low,222,311,0.76,2023-03-30 15:00:00,210,Over,Good
Pair programming,Learning,Plan upcoming sprint,High,72,82,0.62,2023-03-31 16:00:00,130,Over,Fair
Attending training session,Learning,Learn new programming language,High,144,138,0.75,2023-03-29 11:00:00,190,Under,Good
Sprint planning,Learning,Network with peers,Low,67,57,0.63,2023-03-30 14:00:00,100,Under,Fair
Attending training session,Learning,Write technical document,Low,81,82,0.79,2023-03-30 15:00:00,420,Over,Good
Code review,Learning,Network with peers,Low,114,141,1.0,2023-03-28 14:00:00,110,Over,Good
Attending conference,Learning,Fix errors in code,Low,38,40,0.85,2023-03-28 10:00:00,170,Over,Good
Code review,Work,Code collaboratively,Low,175,221,0.87,2023-03-30 14:00:00,350,Over,Good
Debugging,Work,Review code changes,Medium,83,95,0.81,2023-03-29 11:00:00,170,Over,Good
Code review,Learning,Write technical document,Medium,99,71,0.98,2023-04-05 18:00:00,170,Under,Good
Writing technical documentation,Learning,Plan upcoming sprint,Low,135,166,0.63,2023-03-28 10:00:00,130,Over,Fair
Code refactoring,Learning,Discuss project progress,Medium,175,185,0.7,2023-04-02 10:00:00,220,Over,Fair
Code refactoring,Learning,Write technical document,High,143,154,0.61,2023-04-05 18:00:00,110,Over,Fair
Attending training session,Work,Learn new programming language,Medium,30,36,0.87,2023-03-29 17:00:00,320,Over,Good
Code review,Work,Refactor existing code,High,143,208,0.64,2023-04-01 12:00:00,100,Over,Fair
Debugging,Learning,Refactor existing code,Medium,96,62,0.63,2023-03-29 17:00:00,190,Under,Fair
Pair programming,Learning,Discuss project progress,Low,219,143,0.64,2023-03-28 14:00:00,320,Under,Fair
Complete coding challenge,Learning,Plan upcoming sprint,Medium,158,131,0.87,2023-04-02 10:00:00,210,Under,Good
Pair programming,Work,Fix errors in code,High,229,333,0.89,2023-04-01 12:00:00,80,Over,Good
Complete coding challenge,Learning,Discuss project progress,Medium,192,121,0.72,2023-03-28 14:00:00,320,Under,Fair
Complete coding challenge,Work,Submit a functioning solution,High,117,143,0.61,2023-03-29 11:00:00,220,Over,Fair
Code review,Work,Review code changes,High,39,44,0.8,2023-03-28 10:00:00,170,Over,Good
